team_abbr,season,target_wins,league_average_wins,prior_net_rating_wins,best_available_baseline
ATL,2025-26,46,41.0,38.3,38.3
BOS,2025-26,56,41.0,66.67699999999999,66.67699999999999
BRK,2025-26,20,41.0,21.532999999999998,21.532999999999998
CHI,2025-26,31,41.0,36.977,36.977
CHO,2025-26,44,41.0,15.943999999999999,15.943999999999999
CLE,2025-26,52,41.0,66.758,66.758
DAL,2025-26,26,41.0,37.895,37.895
DEN,2025-26,54,41.0,51.179,51.179
DET,2025-26,60,41.0,46.211,46.211
GSW,2025-26,37,41.0,49.856,49.856
HOU,2025-26,52,41.0,52.718,52.718
IND,2025-26,19,41.0,47.21,47.21
LAC,2025-26,42,41.0,53.879,53.879
LAL,2025-26,53,41.0,44.294,44.294
MEM,2025-26,25,41.0,53.744,53.744
MIA,2025-26,43,41.0,42.458,42.458
MIL,2025-26,32,41.0,47.669000000000004,47.669000000000004
MIN,2025-26,49,41.0,55.013000000000005,55.013000000000005
NOP,2025-26,26,41.0,15.026,15.026
NYK,2025-26,53,41.0,52.043,52.043
OKC,2025-26,64,41.0,75.344,75.344
ORL,2025-26,45,41.0,40.784,40.784
PHI,2025-26,45,41.0,23.666,23.666
PHO,2025-26,45,41.0,32.792,32.792
POR,2025-26,42,41.0,33.44,33.44
SAC,2025-26,22,41.0,42.377,42.377
SAS,2025-26,62,41.0,33.683,33.683
TOR,2025-26,46,41.0,29.092999999999996,29.092999999999996
UTA,2025-26,22,41.0,15.701,15.701
WAS,2025-26,17,41.0,7.708999999999996,7.708999999999996
