season_end_year,team_abbr,prior_roster_transition_player_count,prior_roster_returning_player_count,prior_roster_incoming_player_count,prior_roster_new_player_count,prior_roster_player_match_rate,prior_roster_continuity_minutes_share,prior_roster_incoming_minutes_share,prior_roster_minutes_covered,prior_roster_expected_net_rating,prior_roster_expected_off_rating,prior_roster_expected_def_rating,prior_roster_top8_expected_net_rating,prior_roster_top8_expected_off_rating,prior_roster_top8_expected_def_rating,prior_roster_top8_projection_wins,roster_feature_source
2010,ATL,,,,,,,,,,,,,,,,
2010,BOS,,,,,,,,,,,,,,,,
2010,BRK,,,,,,,,,,,,,,,,
2010,CHI,,,,,,,,,,,,,,,,
2010,CHO,,,,,,,,,,,,,,,,
2010,CLE,,,,,,,,,,,,,,,,
2010,DAL,,,,,,,,,,,,,,,,
2010,DEN,,,,,,,,,,,,,,,,
2010,DET,,,,,,,,,,,,,,,,
2010,GSW,,,,,,,,,,,,,,,,
2010,HOU,,,,,,,,,,,,,,,,
2010,IND,,,,,,,,,,,,,,,,
2010,LAC,,,,,,,,,,,,,,,,
2010,LAL,,,,,,,,,,,,,,,,
2010,MEM,,,,,,,,,,,,,,,,
2010,MIA,,,,,,,,,,,,,,,,
2010,MIL,,,,,,,,,,,,,,,,
2010,MIN,,,,,,,,,,,,,,,,
2010,NOP,,,,,,,,,,,,,,,,
2010,NYK,,,,,,,,,,,,,,,,
2010,OKC,,,,,,,,,,,,,,,,
2010,ORL,,,,,,,,,,,,,,,,
2010,PHI,,,,,,,,,,,,,,,,
2010,PHO,,,,,,,,,,,,,,,,
2010,POR,,,,,,,,,,,,,,,,
2010,SAC,,,,,,,,,,,,,,,,
2010,SAS,,,,,,,,,,,,,,,,
2010,TOR,,,,,,,,,,,,,,,,
2010,UTA,,,,,,,,,,,,,,,,
2010,WAS,,,,,,,,,,,,,,,,
2011,ATL,,,,,,,,,,,,,,,,
2011,BOS,,,,,,,,,,,,,,,,
2011,BRK,,,,,,,,,,,,,,,,
2011,CHI,,,,,,,,,,,,,,,,
2011,CHO,,,,,,,,,,,,,,,,
2011,CLE,,,,,,,,,,,,,,,,
2011,DAL,,,,,,,,,,,,,,,,
2011,DEN,,,,,,,,,,,,,,,,
2011,DET,,,,,,,,,,,,,,,,
2011,GSW,,,,,,,,,,,,,,,,
2011,HOU,,,,,,,,,,,,,,,,
2011,IND,,,,,,,,,,,,,,,,
2011,LAC,,,,,,,,,,,,,,,,
2011,LAL,,,,,,,,,,,,,,,,
2011,MEM,,,,,,,,,,,,,,,,
2011,MIA,,,,,,,,,,,,,,,,
2011,MIL,,,,,,,,,,,,,,,,
2011,MIN,,,,,,,,,,,,,,,,
2011,NOP,,,,,,,,,,,,,,,,
2011,NYK,,,,,,,,,,,,,,,,
2011,OKC,,,,,,,,,,,,,,,,
2011,ORL,,,,,,,,,,,,,,,,
2011,PHI,,,,,,,,,,,,,,,,
2011,PHO,,,,,,,,,,,,,,,,
2011,POR,,,,,,,,,,,,,,,,
2011,SAC,,,,,,,,,,,,,,,,
2011,SAS,,,,,,,,,,,,,,,,
2011,TOR,,,,,,,,,,,,,,,,
2011,UTA,,,,,,,,,,,,,,,,
2011,WAS,,,,,,,,,,,,,,,,
2012,ATL,,,,,,,,,,,,,,,,
2012,BOS,,,,,,,,,,,,,,,,
2012,BRK,,,,,,,,,,,,,,,,
2012,CHI,,,,,,,,,,,,,,,,
2012,CHO,,,,,,,,,,,,,,,,
2012,CLE,,,,,,,,,,,,,,,,
2012,DAL,,,,,,,,,,,,,,,,
2012,DEN,,,,,,,,,,,,,,,,
2012,DET,,,,,,,,,,,,,,,,
2012,GSW,,,,,,,,,,,,,,,,
2012,HOU,,,,,,,,,,,,,,,,
2012,IND,,,,,,,,,,,,,,,,
