team_abbr,season,expected_wins,wins_p10,wins_p25,wins_p50,wins_p75,wins_p90,playoff_proxy_probability,simulation_note
OKC,2025-26,75.4,72,74,76,77,78,1.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
CLE,2025-26,66.71,62,64,67,69,71,1.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
BOS,2025-26,66.66,62,64,67,69,71,1.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
MIN,2025-26,55.06,50,52,55,58,60,0.9933,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
LAC,2025-26,53.86,48,51,54,57,59,0.9827,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
MEM,2025-26,53.79,48,51,54,57,59,0.9843,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
HOU,2025-26,52.7,47,50,53,56,58,0.9685,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
NYK,2025-26,52.01,46,49,52,55,58,0.9533,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
DEN,2025-26,51.15,45,48,51,54,57,0.9341,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
GSW,2025-26,49.8,44,47,50,53,56,0.8837,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
MIL,2025-26,47.71,42,45,48,51,53,0.766,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
IND,2025-26,47.2,42,44,47,50,53,0.7305,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
DET,2025-26,46.16,40,43,46,49,52,0.6426,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
LAL,2025-26,44.27,38,41,44,47,50,0.4767,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
MIA,2025-26,42.46,37,39,42,46,48,0.3271,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
SAC,2025-26,42.36,37,39,42,45,48,0.3213,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
ORL,2025-26,40.79,35,38,41,44,47,0.2082,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
ATL,2025-26,38.28,33,35,38,41,44,0.0839,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
DAL,2025-26,37.89,32,35,38,41,44,0.0714,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
CHI,2025-26,36.99,31,34,37,40,43,0.0504,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
SAS,2025-26,33.7,28,31,34,37,39,0.0084,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
POR,2025-26,33.43,28,30,33,36,39,0.0058,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
PHO,2025-26,32.79,27,30,33,36,39,0.0052,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
TOR,2025-26,29.07,24,26,29,32,35,0.0003,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
PHI,2025-26,23.57,18,21,24,26,29,0.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
BRK,2025-26,21.53,17,19,21,24,27,0.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
CHO,2025-26,15.92,11,13,16,18,21,0.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
UTA,2025-26,15.76,11,13,16,18,21,0.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
NOP,2025-26,15.0,11,13,15,17,20,0.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
WAS,2025-26,7.72,4,6,8,9,11,0.0,Independent-win proxy; replace with schedule-based simulation when schedule data is added.
