team_abbr,market_win_total,source,source_date,season
ATL,43.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
BOS,51.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
BRK,24.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
CHO,37.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
CHI,27.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
CLE,47.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
DAL,34.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
DEN,49.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
DET,49.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
GSW,40.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
HOU,47.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
IND,44.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
LAC,30.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
LAL,46.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
MEM,28.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
MIA,46.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
MIL,26.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
MIN,48.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
NOP,27.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
NYK,52.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
OKC,60.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
ORL,43.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
PHI,50.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
PHO,38.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
POR,43.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
SAC,21.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
SAS,59.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
TOR,45.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
UTA,35.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
WAS,35.5,SportsBettingDime BetMGM tracker,2026-08-23,2026-27
