team_abbr,player_id,player_name,position,estimated_return_date,injury_status,comment,status_weight
ATL,ATL-mouhamed-gueye,Mouhamed Gueye,F,Oct 15,Day-To-Day,"Jul 18: Gueye underwent surgery Tuesday to repair a fractured left foot that he suffered during a workout last week, Brad Rowland of the Locked On Podcast Network reports.",0.3
ATL,ATL-keshon-gilbert,Keshon Gilbert,G,Oct 1,Day-To-Day,"Jul 18: Gilbert (hip) won't play in Saturday's Las Vegas Summer League game against the Wizards, Brad Rowland of the Locked On Podcast Network reports.",0.3
ATL,ATL-rayj-dennis,RayJ Dennis,G,Oct 1,Day-To-Day,"Jul 18: Dennis (Achilles) has been ruled out for Saturday's Summer League game against the Wizards, Brad Rowland of the Locked On Podcast Network reports.",0.3
BOS,BOS-jayson-tatum,Jayson Tatum,F,Oct 1,Day-To-Day,"Jul 27: Tatum (knee) should once again serve as the unquestioned centerpiece of Boston's offense after the Celtics traded Jaylen Brown for Paul George, John Schuhmann of NBA.com reports.",0.3
BRK,BRK-nolan-traore,Nolan Traore,G,Oct 1,Day-To-Day,"Jun 30: Brooklyn general manager Sean Marks announced Monday that Traore underwent right knee surgery and won't play in Summer League, C.J. Holmes of the New York Daily News reports.",0.3
CHO,CHO-brandon-miller,Brandon Miller,F,Oct 1,Day-To-Day,Aug 25: Miller (shoulder) provided an update on his rehab after surgery in comments to Roderick Boone of The Charlotte Observer on Tuesday.,0.3
CHO,CHO-pj-hall,PJ Hall,C,Oct 1,Day-To-Day,Jun 16: The Hornets announced Thursday that Hall underwent a procedure to address a fractured right ankle and will miss the remainder of the 2025-26 campaign.,0.3
CHI,CHI-dailyn-swain,Dailyn Swain,G,Oct 1,Day-To-Day,"Jul 17: Swain is out for Friday's Summer League game against the Cavaliers due to right wrist soreness, per K.C. Johnson of Chicago Sports Network.",0.3
CHI,CHI-zach-collins,Zach Collins,F,Oct 1,Day-To-Day,"Jun 30: Collins (toe) agreed to a two-year, $17 million extension with Chicago on Tuesday, Shams Charania of ESPN reports.",0.3
CHI,CHI-josh-giddey,Josh Giddey,G,Oct 1,Day-To-Day,Jun 24: Giddey (ankle) could benefit from the selections of Caleb Wilson and Dailyn Swain as well as Chicago's acquisition of Nic Claxton (finger) in 2026-27.,0.3
CHI,CHI-rob-dillingham,Rob Dillingham,G,Oct 1,Day-To-Day,"Jun 16: Dillingham recently underwent successful minor surgery to have a ganglion cyst removed from his right wrist, the Bulls announced Wednesday.",0.3
