event_id,game_date,season,home_team,away_team,source_team,game_key
bbr-ATL-1,"Wed, Oct 21, 2026",2026-27,ORL,ATL,ATL,"Wed, Oct 21, 2026|ORL|ATL"
bbr-ATL-2,"Fri, Oct 23, 2026",2026-27,CHO,ATL,ATL,"Fri, Oct 23, 2026|CHO|ATL"
bbr-ATL-3,"Sat, Oct 24, 2026",2026-27,ATL,HOU,ATL,"Sat, Oct 24, 2026|ATL|HOU"
bbr-ATL-4,"Mon, Oct 26, 2026",2026-27,HOU,ATL,ATL,"Mon, Oct 26, 2026|HOU|ATL"
bbr-ATL-5,"Wed, Oct 28, 2026",2026-27,ATL,MIA,ATL,"Wed, Oct 28, 2026|ATL|MIA"
bbr-ATL-6,"Thu, Oct 29, 2026",2026-27,ATL,CLE,ATL,"Thu, Oct 29, 2026|ATL|CLE"
bbr-ATL-7,"Sat, Oct 31, 2026",2026-27,NOP,ATL,ATL,"Sat, Oct 31, 2026|NOP|ATL"
bbr-ATL-8,"Mon, Nov 2, 2026",2026-27,IND,ATL,ATL,"Mon, Nov 2, 2026|IND|ATL"
bbr-ATL-9,"Wed, Nov 4, 2026",2026-27,WAS,ATL,ATL,"Wed, Nov 4, 2026|WAS|ATL"
bbr-ATL-10,"Fri, Nov 6, 2026",2026-27,ATL,WAS,ATL,"Fri, Nov 6, 2026|ATL|WAS"
bbr-ATL-11,"Sat, Nov 7, 2026",2026-27,ATL,BRK,ATL,"Sat, Nov 7, 2026|ATL|BRK"
bbr-ATL-12,"Mon, Nov 9, 2026",2026-27,ATL,LAL,ATL,"Mon, Nov 9, 2026|ATL|LAL"
bbr-ATL-13,"Fri, Nov 13, 2026",2026-27,CHI,ATL,ATL,"Fri, Nov 13, 2026|CHI|ATL"
bbr-ATL-14,"Sun, Nov 15, 2026",2026-27,MIL,ATL,ATL,"Sun, Nov 15, 2026|MIL|ATL"
bbr-ATL-15,"Wed, Nov 18, 2026",2026-27,OKC,ATL,ATL,"Wed, Nov 18, 2026|OKC|ATL"
bbr-ATL-16,"Fri, Nov 20, 2026",2026-27,ATL,CHO,ATL,"Fri, Nov 20, 2026|ATL|CHO"
bbr-ATL-17,"Sun, Nov 22, 2026",2026-27,ATL,DET,ATL,"Sun, Nov 22, 2026|ATL|DET"
bbr-ATL-18,"Fri, Nov 27, 2026",2026-27,BOS,ATL,ATL,"Fri, Nov 27, 2026|BOS|ATL"
bbr-ATL-19,"Sun, Nov 29, 2026",2026-27,NYK,ATL,ATL,"Sun, Nov 29, 2026|NYK|ATL"
bbr-ATL-20,"Tue, Dec 1, 2026",2026-27,MIA,ATL,ATL,"Tue, Dec 1, 2026|MIA|ATL"
bbr-ATL-21,"Thu, Dec 3, 2026",2026-27,ATL,IND,ATL,"Thu, Dec 3, 2026|ATL|IND"
bbr-ATL-22,"Sat, Dec 12, 2026",2026-27,POR,ATL,ATL,"Sat, Dec 12, 2026|POR|ATL"
bbr-ATL-23,"Mon, Dec 14, 2026",2026-27,PHO,ATL,ATL,"Mon, Dec 14, 2026|PHO|ATL"
bbr-ATL-24,"Thu, Dec 17, 2026",2026-27,DEN,ATL,ATL,"Thu, Dec 17, 2026|DEN|ATL"
bbr-ATL-25,"Sat, Dec 19, 2026",2026-27,ATL,ORL,ATL,"Sat, Dec 19, 2026|ATL|ORL"
bbr-ATL-26,"Sun, Dec 20, 2026",2026-27,ATL,OKC,ATL,"Sun, Dec 20, 2026|ATL|OKC"
bbr-ATL-27,"Wed, Dec 23, 2026",2026-27,ATL,DET,ATL,"Wed, Dec 23, 2026|ATL|DET"
bbr-ATL-28,"Sat, Dec 26, 2026",2026-27,ATL,CHO,ATL,"Sat, Dec 26, 2026|ATL|CHO"
bbr-ATL-29,"Sun, Dec 27, 2026",2026-27,SAS,ATL,ATL,"Sun, Dec 27, 2026|SAS|ATL"
bbr-ATL-30,"Tue, Dec 29, 2026",2026-27,ATL,CHI,ATL,"Tue, Dec 29, 2026|ATL|CHI"
bbr-ATL-31,"Thu, Dec 31, 2026",2026-27,ATL,MIL,ATL,"Thu, Dec 31, 2026|ATL|MIL"
bbr-ATL-32,"Sat, Jan 2, 2027",2026-27,ATL,DAL,ATL,"Sat, Jan 2, 2027|ATL|DAL"
bbr-ATL-33,"Mon, Jan 4, 2027",2026-27,PHI,ATL,ATL,"Mon, Jan 4, 2027|PHI|ATL"
bbr-ATL-34,"Tue, Jan 5, 2027",2026-27,CHO,ATL,ATL,"Tue, Jan 5, 2027|CHO|ATL"
bbr-ATL-35,"Thu, Jan 7, 2027",2026-27,ATL,IND,ATL,"Thu, Jan 7, 2027|ATL|IND"
bbr-ATL-36,"Sun, Jan 10, 2027",2026-27,ATL,SAS,ATL,"Sun, Jan 10, 2027|ATL|SAS"
bbr-ATL-37,"Mon, Jan 11, 2027",2026-27,WAS,ATL,ATL,"Mon, Jan 11, 2027|WAS|ATL"
bbr-ATL-38,"Wed, Jan 13, 2027",2026-27,ATL,CLE,ATL,"Wed, Jan 13, 2027|ATL|CLE"
bbr-ATL-39,"Fri, Jan 15, 2027",2026-27,ATL,GSW,ATL,"Fri, Jan 15, 2027|ATL|GSW"
bbr-ATL-40,"Mon, Jan 18, 2027",2026-27,ATL,PHI,ATL,"Mon, Jan 18, 2027|ATL|PHI"
bbr-ATL-41,"Wed, Jan 20, 2027",2026-27,ATL,POR,ATL,"Wed, Jan 20, 2027|ATL|POR"
bbr-ATL-42,"Fri, Jan 22, 2027",2026-27,ATL,NYK,ATL,"Fri, Jan 22, 2027|ATL|NYK"
bbr-ATL-43,"Sat, Jan 23, 2027",2026-27,MIA,ATL,ATL,"Sat, Jan 23, 2027|MIA|ATL"
bbr-ATL-44,"Tue, Jan 26, 2027",2026-27,DET,ATL,ATL,"Tue, Jan 26, 2027|DET|ATL"
bbr-ATL-45,"Thu, Jan 28, 2027",2026-27,NYK,ATL,ATL,"Thu, Jan 28, 2027|NYK|ATL"
bbr-ATL-46,"Sat, Jan 30, 2027",2026-27,MIL,ATL,ATL,"Sat, Jan 30, 2027|MIL|ATL"
bbr-ATL-47,"Mon, Feb 1, 2027",2026-27,ATL,WAS,ATL,"Mon, Feb 1, 2027|ATL|WAS"
bbr-ATL-48,"Wed, Feb 3, 2027",2026-27,IND,ATL,ATL,"Wed, Feb 3, 2027|IND|ATL"
bbr-ATL-49,"Fri, Feb 5, 2027",2026-27,ATL,BOS,ATL,"Fri, Feb 5, 2027|ATL|BOS"
bbr-ATL-50,"Sun, Feb 7, 2027",2026-27,ATL,DEN,ATL,"Sun, Feb 7, 2027|ATL|DEN"
