transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort
Signing,2026-09-02,Cleveland Cavaliers signed center Khalifa Diop to a Contract.,CLE,1631215.0,khalifa-diop,Signing 1153549
Waive,2026-09-01,Charlotte Hornets waived forward Josiah Allick.,CHO,1643251.0,josiah-allick,Waive 1153543
Trade,2026-08-29,Minnesota Timberwolves received forward Cody Williams from Utah Jazz.,MIN,1642262.0,cody-williams,Trade 2026013
Trade,2026-08-29,Minnesota Timberwolves received guard John Konchar from Utah Jazz.,MIN,1629723.0,john-konchar,Trade 2026013
Trade,2026-08-29,Utah Jazz received guard Josh Green from Minnesota Timberwolves.,UTA,1630182.0,josh-green,Trade 2026013
Waive,2026-08-29,Minnesota Timberwolves waived guard John Konchar.,MIN,1629723.0,john-konchar,Waive 1153530
Waive,2026-08-28,Cleveland Cavaliers waived forward Cam Whitmore.,CLE,1641715.0,cam-whitmore,Waive 1153474
Waive,2026-08-28,Denver Nuggets waived forward Julian Reese.,DEN,1642882.0,julian-reese,Waive 1153475
Signing,2026-08-27,Miami Heat signed center Nick Richards to a Contract.,MIA,1630208.0,nick-richards,Signing 1153456
Signing,2026-08-27,Miami Heat re-signed forward Keshad Johnson to a Two-Way Contract.,MIA,1642352.0,keshad-johnson,Signing 1153462
Signing,2026-08-26,Houston Rockets signed center Rafael Castro to a Two-Way Contract.,HOU,1643572.0,rafael-castro,Signing 1153445
Signing,2026-08-26,Golden State Warriors signed guard Brandon Williams to a Contract.,GSW,1630314.0,brandon-williams,Signing 1153447
Signing,2026-08-26,Denver Nuggets signed  Bryce Hopkins to a Two-Way Contract.,DEN,1643624.0,bryce-hopkins,Signing 1153448
Waive,2026-08-26,Houston Rockets waived guard Tristen Newton.,HOU,1641803.0,tristen-newton,Waive 1153449
Signing,2026-08-25,Golden State Warriors signed forward Georges Niang to a Contract.,GSW,1627777.0,georges-niang,Signing 1153444
Signing,2026-08-23,Miami Heat signed guard Klay Thompson to a Contract.,MIA,202691.0,klay-thompson,Signing 1153417
Waive,2026-08-21,Dallas Mavericks waived guard Klay Thompson.,DAL,202691.0,klay-thompson,Waive 1153414
Trade,2026-08-20,Cleveland Cavaliers received guard Peyton Watson from Denver Nuggets.,CLE,1631212.0,peyton-watson,Trade 2026012
Trade,2026-08-20,Cleveland Cavaliers received forward Cam Whitmore from Washington Wizards.,CLE,1641715.0,cam-whitmore,Trade 2026012
Trade,2026-08-20,Denver Nuggets received draft consideration from Cleveland Cavaliers.,DEN,0.0,,Trade 2026012
Trade,2026-08-20,LA Clippers received guard Max Strus from Cleveland Cavaliers.,LAC,1629622.0,max-strus,Trade 2026012
Trade,2026-08-20,Washington Wizards received draft consideration from LA Clippers.,WAS,0.0,,Trade 2026012
Trade,2026-08-20,Washington Wizards received guard Tre Mann from Charlotte Hornets.,WAS,1630544.0,tre-mann,Trade 2026012
Trade,2026-08-20,Charlotte Hornets received guard Dennis Schroder from Cleveland Cavaliers.,CHO,203471.0,dennis-schroder,Trade 2026012
Signing,2026-08-18,New Orleans Pelicans signed forward Malik Dia to a Two-Way Contract.,NOP,1643738.0,malik-dia,Signing 1153376
Waive,2026-08-18,New Orleans Pelicans waived center Hunter Dickinson.,NOP,1630621.0,hunter-dickinson,Waive 1153379
Signing,2026-08-17,Indiana Pacers signed guard Braden Smith to a Two-Way Contract.,IND,1643552.0,braden-smith,Signing 1153369
Signing,2026-08-17,Houston Rockets signed guard Sean Pedulla to a Two-Way Contract.,HOU,1642951.0,sean-pedulla,Signing 1153373
Signing,2026-08-17,New Orleans Pelicans signed guard Trendon Watford to a Contract.,NOP,1630570.0,trendon-watford,Signing 1153374
Signing,2026-08-13,LA Clippers re-signed guard Bradley Beal to a Contract.,LAC,203078.0,bradley-beal,Signing 1153350
Waive,2026-08-13,Indiana Pacers waived guard Ethan Thompson.,IND,1630679.0,ethan-thompson,Waive 1153349
Signing,2026-08-12,LA Clippers signed guard Jalen Pickett to a Two-Way Contract.,LAC,1629618.0,jalen-pickett,Signing 1153348
Waive,2026-08-12,Phoenix Suns waived forward Haywood Highsmith.,PHO,1629312.0,haywood-highsmith,Waive 1153347
Signing,2026-08-08,Phoenix Suns re-signed guard Dillon Brooks to a Veteran Extension.,PHO,1628415.0,dillon-brooks,Signing 1153326
Signing,2026-08-06,LA Clippers signed center Jamarion Sharp to a Two-Way Contract.,LAC,1642481.0,jamarion-sharp,Signing 1153315
Waive,2026-08-06,LA Clippers waived guard Sean Pedulla.,LAC,1642951.0,sean-pedulla,Waive 1153317
Signing,2026-08-05,Boston Celtics signed forward Dillon Mitchell to a Two-Way Contract.,BOS,1641759.0,dillon-mitchell,Signing 1153311
Signing,2026-08-05,Philadelphia 76ers signed guard Kentavious Caldwell-Pope to a Contract.,PHI,203484.0,kentavious-caldwell-pope,Signing 1153313
Waive,2026-08-05,Houston Rockets waived guard JD Davison.,HOU,1631120.0,jd-davison,Waive 1153307
Signing,2026-08-04,Toronto Raptors signed center Trey Jemison III to a Two-Way Contract.,TOR,1641998.0,trey-jemison-iii,Signing 1153300
Signing,2026-08-02,Dallas Mavericks re-signed forward Naji Marshall to a Veteran Extension.,DAL,1630230.0,naji-marshall,Signing 1153288
Signing,2026-08-01,Golden State Warriors re-signed guard Gary Payton II to a Contract.,GSW,1627780.0,gary-payton-ii,Signing 1153283
Signing,2026-07-31,Denver Nuggets signed forward Spencer Jones to a Contract.,DEN,1642461.0,spencer-jones,Signing 1153256
Signing,2026-07-31,Brooklyn Nets signed forward Moritz Wagner to a Contract.,BRK,1629021.0,moritz-wagner,Signing 1153257
Signing,2026-07-31,Cleveland Cavaliers signed forward Mario Hezonja to a Contract.,CLE,1626209.0,mario-hezonja,Signing 1153258
Signing,2026-07-31,Golden State Warriors re-signed guard De'Anthony Melton to a Contract.,GSW,1629001.0,deanthony-melton,Signing 1153272
Waive,2026-07-30,Charlotte Hornets waived forward Mouhamadou Gueye.,CHO,1631338.0,mouhamadou-gueye,Waive 1153252
Signing,2026-07-29,Golden State Warriors re-signed forward Draymond Green to a Contract.,GSW,203110.0,draymond-green,Signing 1153249
