transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort,dedupe_key,source,source_url
Signing,2026-01-02,Memphis Grizzlies signed center Christian Koloko to a 10-Day Contract.,MEM,1631132.0,christian-koloko,Signing 1143016,2026-01-02|MEM|1631132.0|Signing|Memphis Grizzlies signed center Christian Koloko to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-03,Houston Rockets waived forward Tyler Smith.,HOU,1641890.0,tyler-smith,Waive 1143038,2026-01-03|HOU|1641890.0|Waive|Houston Rockets waived forward Tyler Smith.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-01-03,Houston Rockets signed guard Tristen Newton to a Two-Way Contract.,HOU,1641803.0,tristen-newton,Signing 1143039,2026-01-03|HOU|1641803.0|Signing|Houston Rockets signed guard Tristen Newton to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-05,Indiana Pacers waived center Tony Bradley.,IND,1628396.0,tony-bradley,Waive 1143079,2026-01-05|IND|1628396.0|Waive|Indiana Pacers waived center Tony Bradley.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-05,Toronto Raptors waived center Mo Bamba.,TOR,1628964.0,mo-bamba,Waive 1143113,2026-01-05|TOR|1628964.0|Waive|Toronto Raptors waived center Mo Bamba.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-06,Chicago Bulls waived forward Trentyn Flowers.,CHI,1642280.0,trentyn-flowers,Waive 1143112,2026-01-06|CHI|1642280.0|Waive|Chicago Bulls waived forward Trentyn Flowers.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-01-06,Chicago Bulls signed guard Yuki Kawamura to a Two-Way Contract.,CHI,1642530.0,yuki-kawamura,Signing 1143108,2026-01-06|CHI|1642530.0|Signing|Chicago Bulls signed guard Yuki Kawamura to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-07,Atlanta Hawks waived center Malik Williams.,ATL,1642013.0,malik-williams,Waive 1143329,2026-01-07|ATL|1642013.0|Waive|Atlanta Hawks waived center Malik Williams.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-07,Milwaukee Bucks waived guard Mark Sears.,MIL,1641813.0,mark-sears,Waive 1143328,2026-01-07|MIL|1641813.0|Waive|Milwaukee Bucks waived guard Mark Sears.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-01-07,New York Knicks waived forward Tosan Evbuomwan.,NYK,1641787.0,tosan-evbuomwan,Waive 1143327,2026-01-07|NYK|1641787.0|Waive|New York Knicks waived forward Tosan Evbuomwan.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
